Id,EmpName,Address,City,County,State,Phone,Email,Designation,SSN,SSN_encrypted
18882,Myra Munns,5227 Black Horse Pike,Burlingame,San Mateo,CA,730-221-7229,Myra.Munns_18882@mulqueen.org,CareManager,408853545,NULL
2754, kimberly r  mass-rodriguez,4843 Black Horse Pike,Burlingame,San Mateo,CA,267-244-4411,kimberlyr.mass-rodriguez_2754@ostrosky.com,CareManager,354307992,NULL
9743, destiny   barnes,5009 Black Horse Pike,Burlingame,San Mateo,CA,282-380-2157,destiny.barnes_9743@vocelka.com,CareManager,501828625,NULL
5628, jade l  coleman,83649 W Belmont Ave,San Gabriel,Los Angeles,CA,805-689-1984,jadel.coleman_5628@hotmail.com,CareManager,520338703,NULL
6467, vertresa l  griner,4931 Black Horse Pike,Burlingame,San Mateo,CA,920-042-7051,vertresal.griner_6467@yahoo.com,CareManager,345230337,NULL
13860, ginger l  ward,83649 W Belmont Ave,San Gabriel,Los Angeles,CA,579-578-5575,gingerl.ward_13860@lindall.com,CareManager,522882076,NULL
9848, lacey l  bethel,47366 Whipple Ave Nw,Gardena,Los Angeles,CA,320-302-4642,laceyl.bethel_9848@morasca.com,CareManager,410683216,NULL
13166, milneg   sanchez,47445 Whipple Ave Nw,Gardena,Los Angeles,CA,818-811-4958,milneg.sanchez_13166@ostrosky.com,CareManager,354816457,NULL
5968, joy a  dorn,68556 Central Hwy,San Leandro,Alameda,CA,253-572-7103,joya.dorn_5968@venere.org,CareManager,379935126,NULL
2263, laura k  jung,47185 Whipple Ave Nw,Gardena,Los Angeles,CA,416-097-9094,laurak.jung_2263@briddick.com,CareManager,500821894,NULL
7790, dixie l  murphy,47317 Whipple Ave Nw,Gardena,Los Angeles,CA,467-327-1227,dixiel.murphy_7790@gmail.com,CareManager,305945211,NULL
10114, cassandra d  butler,287 Marquette Ave,Hayward,Alameda,CA,661-358-8415,cassandrad.butler_10114@morasca.com,CareManager,541256819,NULL
1949, laura n  henry,93 Marquette Ave,Hayward,Alameda,CA,888-607-6927,lauran.henry_1949@slusarski.com,CareManager,426433392,NULL
15413, traci   durham,5144 Black Horse Pike,Burlingame,San Mateo,CA,506-684-4602,traci.durham_15413@uyetake.org,CareManager,371614727,NULL
4918, diana l  applegate,68556 Central Hwy,San Leandro,Alameda,CA,362-782-2142,dianal.applegate_4918@glick.com,CareManager,288708861,NULL
13108, tracy m  ross,68556 Central Hwy,San Leandro,Alameda,CA,806-293-8099,tracym.ross_13108@dickerson.org,CareManager,468006563,NULL
19155, danielle m  barrett,99385 Charity St #1273,San Jose,Santa Clara,CA,957-888-7852,daniellem.barrett_19155@centini.org,CareManager,545523403,NULL
7199, angela d  lazenby,218 Marquette Ave,Hayward,Alameda,CA,537-402-8292,angelad.lazenby_7199@shinko.com,CareManager,520139677,NULL
9408,Kris Marrier,83649 W Belmont Ave,San Gabriel,Los Angeles,CA,799-651-2801,Kris.Marrier_9408@bowley.org,CareManager,419318886,NULL
16526, tabitha   labay,47525 Whipple Ave Nw,Gardena,Los Angeles,CA,885-663-7636,tabitha.labay_16526@mulqueen.org,CareManager,270646678,NULL
4388, kayla m  vazquez,47236 Whipple Ave Nw,Gardena,Los Angeles,CA,724-338-1977,kaylam.vazquez_4388@ostrosky.com,CareManager,319592216,NULL
4066, stephanie   spurgeon,143 Marquette Ave,Hayward,Alameda,CA,528-866-6748,stephanie.spurgeon_4066@gmail.com,CareManager,483392648,NULL
840, ashley l  chamberlain,4800 Black Horse Pike,Burlingame,San Mateo,CA,539-560-9717,ashleyl.chamberlain_840@hotmail.com,CareManager,380749684,NULL
14657, carmen k  bradford,5126 Black Horse Pike,Burlingame,San Mateo,CA,812-363-8228,carmenk.bradford_14657@hollack.org,CareManager,415113492,NULL
14993, samantha r  clark,5134 Black Horse Pike,Burlingame,San Mateo,CA,619-558-8238,samanthar.clark_14993@briddick.com,CareManager,279727051,NULL
14070, holley a  wolf,83649 W Belmont Ave,San Gabriel,Los Angeles,CA,386-175-8570,holleya.wolf_14070@royster.com,CareManager,468581998,NULL
7938, megan n  ouellette,83649 W Belmont Ave,San Gabriel,Los Angeles,CA,223-499-6993,megann.ouellette_7938@mulqueen.org,CareManager,311856463,NULL
17047, karen a  miller,47537 Whipple Ave Nw,Gardena,Los Angeles,CA,975-247-4062,karena.miller_17047@uyetake.org,CareManager,277703895,NULL
18640, katrina d  white,490 Marquette Ave,Hayward,Alameda,CA,436-366-5609,katrinad.white_18640@saylors.org,CareManager,346442394,NULL
19844, desiree m  crapsey,47604 Whipple Ave Nw,Gardena,Los Angeles,CA,819-513-2998,desireem.crapsey_19844@aol.com,CareManager,389061117,NULL
3968, amber l  skurtu,47226 Whipple Ave Nw,Gardena,Los Angeles,CA,402-296-4296,amberl.skurtu_3968@glick.com,CareManager,294888254,NULL
12771, michelle l  peterson,99385 Charity St #1121,San Jose,Santa Clara,CA,863-497-6082,michellel.peterson_12771@centini.org,CareManager,536579768,NULL
19441, stacey l  brown,47594 Whipple Ave Nw,Gardena,Los Angeles,CA,787-025-7608,staceyl.brown_19441@uyetake.org,CareManager,530263382,NULL
7686, barbara a  molnar,83649 W Belmont Ave,San Gabriel,Los Angeles,CA,720-607-5126,barbaraa.molnar_7686@royster.com,CareManager,535615860,NULL
8046, lissette   perez,4969 Black Horse Pike,Burlingame,San Mateo,CA,602-084-4365,lissette.perez_8046@lindall.com,CareManager,429467666,NULL
2515, kimberly s  lee,47191 Whipple Ave Nw,Longwood,Seminole,FL,708-303-2383,kimberlys.lee_2515@yahoo.com,CareManager,272721213,NULL
14653, yarden l  bracero,47480 Whipple Ave Nw,Gardena,Los Angeles,CA,300-163-8373,yardenl.bracero_14653@uyetake.org,CareManager,409581650,NULL
3762, martha c  salmas,4867 Black Horse Pike,Burlingame,San Mateo,CA,631-445-4470,marthac.salmas_3762@gmail.com,CareManager,494222027,NULL
1595, elana l  gagloria,4815 Black Horse Pike,Burlingame,San Mateo,CA,870-219-5088,elanal.gagloria_1595@barfield.com,CareManager,445754821,NULL
17803, kerri a  ross,47555 Whipple Ave Nw,Gardena,Los Angeles,CA,840-475-8710,kerria.ross_17803@perin.org,CareManager,262233277,NULL
9820, alexa b  bennett,280 Marquette Ave,Hayward,Alameda,CA,811-907-5013,alexab.bennett_9820@glick.com,CareManager,469382982,NULL
10075, rhonda d  bull,47371 Whipple Ave Nw,Gardena,Los Angeles,CA,428-393-0067,rhondad.bull_10075@cox.net,CareManager,350442740,NULL
11591, kristen j  johns,5053 Black Horse Pike,Burlingame,San Mateo,CA,689-443-2115,kristenj.johns_11591@gmail.com,CareManager,246282804,NULL
11738, candance a  kilbourn,47411 Whipple Ave Nw,Gardena,Los Angeles,CA,687-200-8470,candancea.kilbourn_11738@mulqueen.org,CareManager,523852862,NULL
14976, heather   ciambrone,5134 Black Horse Pike,Burlingame,San Mateo,CA,227-389-0490,heather.ciambrone_14976@hotmail.com,CareManager,547829065,NULL
2691, kimberly l  mannery,99385 Charity St #881,San Jose,Santa Clara,CA,324-034-2591,kimberlyl.mannery_2691@rhym.com,CareManager,258983511,NULL
9988, kristina a  brewer,284 Marquette Ave,Hayward,Alameda,CA,836-147-6595,kristinaa.brewer_9988@reitler.com,CareManager,276764217,NULL
19508, jackie a  bustle,47596 Whipple Ave Nw,Gardena,Los Angeles,CA,810-027-3440,jackiea.bustle_19508@corrio.com,CareManager,373726159,NULL
11290, cassandra l  harvey,315 Marquette Ave,Hayward,Alameda,CA,636-495-6945,cassandral.harvey_11290@hotmail.com,CareManager,251336087,NULL
2957, tamara l  miller,117 Marquette Ave,Hayward,Alameda,CA,296-225-6461,tamaral.miller_2957@rhym.com,CareManager,321651638,NULL
17118, tressy b  moore,5185 Black Horse Pike,Burlingame,San Mateo,CA,215-630-4823,tressyb.moore_17118@ostrosky.com,CareManager,279029004,NULL
10265, tammy l  childs,291 Marquette Ave,Hayward,Alameda,CA,963-750-8597,tammyl.childs_10265@cox.net,CareManager,403499705,NULL
7098, virginia a  kosobud,83649 W Belmont Ave,San Gabriel,Los Angeles,CA,590-980-6284,virginiaa.kosobud_7098@mondella.com,CareManager,539547626,NULL
17951, melody m  scott,474 Marquette Ave,Hayward,Alameda,CA,602-040-7741,melodym.scott_17951@vocelka.com,CareManager,478554734,NULL
7577, kena r  mease,227 Marquette Ave,Hayward,Alameda,CA,768-927-4515,kenar.mease_7577@vocelka.com,CareManager,367133704,NULL
18598, cheryl   wehlau,489 Marquette Ave,Hayward,Alameda,CA,488-868-2897,cheryl.wehlau_18598@glick.com,CareManager,498534300,NULL
10542, brenda g  davis,83649 W Belmont Ave,San Gabriel,Los Angeles,CA,765-553-3528,brendag.davis_10542@glick.com,CareManager,440477036,NULL
15208, brandi l  curtis,68556 Central Hwy,San Leandro,Alameda,CA,872-552-2976,brandil.curtis_15208@aol.com,CareManager,250212363,NULL
2915, susanne m  meyers,116 Marquette Ave,Hayward,Alameda,CA,519-097-6016,susannem.meyers_2915@hollack.org,CareManager,401774105,NULL
8988, karen   tobie,83649 W Belmont Ave,San Gabriel,Los Angeles,CA,490-755-0861,karen.tobie_8988@saylors.org,CareManager,384405866,NULL
10062, ruth a  brunson,5017 Black Horse Pike,Burlingame,San Mateo,CA,613-126-4150,rutha.brunson_10062@mondella.com,CareManager,390288758,NULL
19816, teresa l  costa,518 Marquette Ave,Hayward,Alameda,CA,396-183-8440,teresal.costa_19816@ostrosky.com,CareManager,360139696,NULL
2369, courtney a  kirchner,103 Marquette Ave,Hayward,Alameda,CA,529-443-3036,courtneya.kirchner_2369@chui.com,CareManager,455052382,NULL
7622, shannon   michel,47313 Whipple Ave Nw,Gardena,Los Angeles,CA,528-699-0589,shannon.michel_7622@bowley.org,CareManager,462382127,NULL
1326, amber   eady,4809 Black Horse Pike,Burlingame,San Mateo,CA,409-792-5738,amber.eady_1326@mulqueen.org,CareManager,350523601,NULL
19735, jessica e  collins,47601 Whipple Ave Nw,Gardena,Los Angeles,CA,772-627-7248,jessicae.collins_19735@chui.com,CareManager,509904932,NULL
18588, daisey l  weaver,5220 Black Horse Pike,Burlingame,San Mateo,CA,542-392-2819,daiseyl.weaver_18588@morasca.com,CareManager,476643760,NULL
10919, catherine a  flynn,5037 Black Horse Pike,Burlingame,San Mateo,CA,397-381-4218,catherinea.flynn_10919@chui.com,CareManager,417593515,NULL
6892, kristen j  johns,68556 Central Hwy,San Leandro,Alameda,CA,790-789-9364,kristenj.johns_6892@corrio.com,CareManager,357422538,NULL
10408, crystal   corneal,294 Marquette Ave,Hayward,Alameda,CA,583-197-1737,crystal.corneal_10408@mulqueen.org,CareManager,378926247,NULL
8711, sherley   smith,254 Marquette Ave,Hayward,Alameda,CA,297-717-7038,sherley.smith_8711@rim.org,CareManager,274344158,NULL
15431, nichole c  eaton,414 Marquette Ave,Hayward,Alameda,CA,868-059-5517,nicholec.eaton_15431@centini.org,CareManager,247791081,NULL
819, lori c  castillo,99385 Charity St #840,San Jose,Santa Clara,CA,918-727-1953,loric.castillo_819@briddick.com,CareManager,361324902,NULL
16803, stasha r  marcinkowski,99385 Charity St #1217,San Jose,Santa Clara,CA,797-307-6995,stashar.marcinkowski_16803@yahoo.com,CareManager,524362357,NULL
17892, lindsey a  saucedo,83649 W Belmont Ave,San Gabriel,Los Angeles,CA,684-034-1252,lindseya.saucedo_17892@reitler.com,CareManager,479639162,NULL
8651, jeanette l  sims,4983 Black Horse Pike,Burlingame,San Mateo,CA,747-870-9881,jeanettel.sims_8651@monarrez.org,CareManager,375364046,NULL
1112, rebecca a  custer,47158 Whipple Ave Nw,Gardena,Los Angeles,CA,957-619-0850,rebeccaa.custer_1112@royster.com,CareManager,396170453,NULL
11755, tonya   king,47411 Whipple Ave Nw,Gardena,Los Angeles,CA,227-061-6508,tonya.king_11755@chui.com,CareManager,310414848,NULL
8686, gina c  smith,253 Marquette Ave,Hayward,Alameda,CA,802-876-2997,ginac.smith_8686@bowley.org,CareManager,527565098,NULL
12852, paula m  prentiss,83649 W Belmont Ave,San Gabriel,Los Angeles,CA,957-809-7570,paulam.prentiss_12852@aol.com,CareManager,356599446,NULL
8904, victoria a  tavolaccio,83649 W Belmont Ave,San Gabriel,Los Angeles,CA,807-552-8647,victoriaa.tavolaccio_8904@caudy.org,CareManager,475795807,NULL
7690, nichole l  monroe,68556 Central Hwy,San Leandro,Alameda,CA,218-116-5221,nicholel.monroe_7690@corrio.com,CareManager,310535643,NULL
4581, rhonda l  wilkerson,99385 Charity St #926,Maitland,Orange,FL,936-917-1323,rhondal.wilkerson_4581@briddick.com,CareManager,332048685,NULL
17849, cheri a  saccoman,5202 Black Horse Pike,Burlingame,San Mateo,CA,833-140-4610,cheria.saccoman_17849@hollack.org,CareManager,408730529,NULL
5837, christine m  davies,4916 Black Horse Pike,Burlingame,San Mateo,CA,861-605-8959,christinem.davies_5837@uyetake.org,CareManager,305607037,NULL
17706, melissa   ringer,5199 Black Horse Pike,Burlingame,San Mateo,CA,537-107-7768,melissa.ringer_17706@dickerson.org,CareManager,293033481,NULL
508, bethany g  bolten,69 Marquette Ave,Hayward,Alameda,CA,861-010-9253,bethanyg.bolten_508@corrio.com,CareManager,273465010,NULL
8992, marika j  tolz,68556 Central Hwy,San Leandro,Alameda,CA,384-527-8269,marikaj.tolz_8992@mastella.com,CareManager,387911170,NULL
2208, leila a  johnson,4830 Black Horse Pike,Burlingame,San Mateo,CA,292-278-5829,leilaa.johnson_2208@hotmail.com,CareManager,479654860,NULL
2243, melanie   jones,100 Marquette Ave,Hayward,Alameda,CA,678-048-2443,melanie.jones_2243@gmail.com,CareManager,313745160,NULL
811, brandy l  cartwright,47154 Whipple Ave Nw,Gardena,Los Angeles,CA,780-544-2240,brandyl.cartwright_811@chui.com,CareManager,480988170,NULL
16775, christina a  malicoate,446 Marquette Ave,Hayward,Alameda,CA,234-493-9157,christinaa.malicoate_16775@shinko.com,CareManager,327318629,NULL
4360, felicia n  vancleef,150 Marquette Ave,Hayward,Alameda,CA,386-645-8228,felician.vancleef_4360@lindall.com,CareManager,487926546,NULL
18946, bobbie j  aldridge,68556 Central Hwy,San Leandro,Alameda,CA,451-997-0627,bobbiej.aldridge_18946@bowley.org,CareManager,500199585,NULL
1490, christina m  flannery,47167 Whipple Ave Nw,Gardena,Los Angeles,CA,582-165-4600,christinam.flannery_1490@aol.com,CareManager,516556316,NULL
19134, stacy r  barker,5233 Black Horse Pike,Burlingame,San Mateo,CA,564-975-2577,stacyr.barker_19134@saylors.org,CareManager,327974957,NULL
12469, julie k  mullen,47428 Whipple Ave Nw,Gardena,Los Angeles,CA,890-078-9925,juliek.mullen_12469@cox.net,CareManager,319707718,NULL
1389, christina m  englehart,99385 Charity St #850,San Jose,Santa Clara,CA,499-919-9562,christinam.englehart_1389@briddick.com,CareManager,306689836,NULL
19533, dorothy d  caldwell,99385 Charity St #1282,San Jose,Santa Clara,CA,583-992-9693,dorothyd.caldwell_19533@gmail.com,CareManager,384395261,NULL
16589, patricia r  lawrence,5172 Black Horse Pike,Burlingame,San Mateo,CA,541-547-7962,patriciar.lawrence_16589@briddick.com,CareManager,258636808,NULL
6408, tammi c  gough,4930 Black Horse Pike,Burlingame,San Mateo,CA,458-038-3232,tammic.gough_6408@mastella.com,CareManager,254662038,NULL
2188, alissa s  jick,68556 Central Hwy,San Leandro,Alameda,CA,883-214-8493,alissas.jick_2188@bowley.org,CareManager,352792060,NULL
6257, constance m  fraser,4926 Black Horse Pike,Burlingame,San Mateo,CA,272-571-2663,constancem.fraser_6257@monarrez.org,CareManager,541556597,NULL
12603, sonia r  oglesby,99385 Charity St #1117,San Jose,Santa Clara,CA,627-748-5136,soniar.oglesby_12603@monarrez.org,CareManager,419658867,NULL
16876, ashley l  mayberry,448 Marquette Ave,Hayward,Alameda,CA,842-728-0518,ashleyl.mayberry_16876@hotmail.com,CareManager,502738044,NULL
10391, amy m  copeland,294 Marquette Ave,Hayward,Alameda,CA,808-884-0051,amym.copeland_10391@shinko.com,CareManager,347976661,NULL
4993, randalynn m  bailey,47250 Whipple Ave Nw,Gardena,Los Angeles,CA,915-915-3094,randalynnm.bailey_4993@vocelka.com,CareManager,513211051,NULL
17891, jean   satonick,5203 Black Horse Pike,Burlingame,San Mateo,CA,396-192-8046,jean.satonick_17891@rhym.com,CareManager,530945057,NULL
11822, haley g  kuttner,47413 Whipple Ave Nw,Gardena,Los Angeles,CA,746-909-2880,haleyg.kuttner_11822@hotmail.com,CareManager,468057031,NULL
5284, constance   breaden,172 Marquette Ave,Hayward,Alameda,CA,460-083-6296,constance.breaden_5284@venere.org,CareManager,276891297,NULL
14468, hayley   basilotto,47476 Whipple Ave Nw,Gardena,Los Angeles,CA,609-275-5646,hayley.basilotto_14468@lindall.com,CareManager,386789995,NULL
10744, christine m  edwards,302 Marquette Ave,Hayward,Alameda,CA,804-776-1770,christinem.edwards_10744@lindall.com,CareManager,326890099,NULL
2750, kayla m  masek,47197 Whipple Ave Nw,Gardena,Los Angeles,CA,445-773-8946,kaylam.masek_2750@corrio.com,CareManager,520111525,NULL
